source_id,name,owner,url,kind,load_pattern,schedule_minutes,slo_hours,license,attribution_text,gates,auth,enabled,verify_status,authority_class,base_trust,trust,synced_at,parser,target
aaa_daily,"AAA daily state diesel averages (personal, non-commercial)",AAA / Oil Price Information Service,,derived,derived,,48,,,{},,t,verified,,,,2026-07-24 12:36:51.762769+00,,
businesses_conflate,Derived: Overture + FSQ conflation -> core.businesses rebuild (§3.1-6),truck-intel wave-2 businesses track,,derived,derived,,1080,,,{},,t,verified,,,,2026-07-22 11:42:25.067298+00,,
caltrans_cwwp2_cc_d02,Caltrans chain controls — District 2 (far north: I-5 / Siskiyous),California DOT (Caltrans),https://cwwp2.dot.ca.gov/data/d2/cc/ccStatusD02.json,live_json,event_lifecycle,15,24,"CA state open data (Caltrans CWWP2, keyless public JSON)",California DOT (Caltrans CWWP2),"{""min_rows"": 0, ""required_fields"": [""event_id"", ""kind""], ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,cwwp2,
caltrans_cwwp2_cc_d03,Caltrans chain controls — District 3 (Sierra: Donner/Echo/Luther),California DOT (Caltrans),https://cwwp2.dot.ca.gov/data/d3/cc/ccStatusD03.json,live_json,event_lifecycle,15,24,"CA state open data (Caltrans CWWP2, keyless public JSON)",California DOT (Caltrans CWWP2),"{""min_rows"": 0, ""required_fields"": [""event_id"", ""kind""], ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,cwwp2,
caltrans_cwwp2_cc_d09,Caltrans chain controls — District 9 (eastern Sierra: US-395/US-6),California DOT (Caltrans),https://cwwp2.dot.ca.gov/data/d9/cc/ccStatusD09.json,live_json,event_lifecycle,15,24,"CA state open data (Caltrans CWWP2, keyless public JSON)",California DOT (Caltrans CWWP2),"{""min_rows"": 0, ""required_fields"": [""event_id"", ""kind""], ""max_row_delta_pct"": null}",,t,verified,,,,2026-08-19 06:21:04.180483+00,cwwp2,
chain_sites,National truck-chain store locators via All The Places (CC0),All The Places / the chains themselves,,derived,snapshot_swap,,72,,,{},,t,verified,curated,0.85,0.85,2026-08-17 06:16:04.740595+00,,
eia_diesel,EIA weekly on-highway diesel prices (regional averages),U.S. Energy Information Administration (EIA),https://api.eia.gov/v2/petroleum/pri/gnd/data/,api_keyed,upsert,1440,216,US public domain (attribution requested),U.S. Energy Information Administration (EIA),"{""min_rows"": 1, ""max_row_delta_pct"": null}","{""env"": ""EIA_API_KEY""}",t,verified,,,,2026-08-19 06:21:04.180483+00,,
fsq_places,Foursquare OS Places (HF parquet) -> staging.fsq_places,truck-intel wave-2 businesses track,hf://datasets/foursquare/fsq-os-places,derived,derived,,1080,Apache-2.0,Foursquare OS Places (Apache-2.0),{},,t,verified,,,,2026-07-22 18:45:21.045473+00,,
liveness,Gate 6 liveness rescore (derived — presence ledger + corroboration),truck-intel,,derived,derived,1440,48,,,{},,t,verified,curated,0.85,0.85,2026-08-17 06:15:04.901767+00,,
mechanic_list,Derived: route-based truck mechanic list (Overture Places + NY/NJ licence registries + All The Places + OSM) -> core.mechanic_shops,truck-intel mechanics track,,derived,derived,,48,,,{},,t,verified,,,,2026-08-18 12:19:37.5883+00,,
nbi_annual,FHWA National Bridge Inventory (annual bulk ZIP),"Federal Highway Administration (FHWA), US DOT",https://www.fhwa.dot.gov/bridge/nbi/2025allstatesallrecsdel.zip,bulk_http,snapshot_swap,10080,9490,US public domain,"Federal Highway Administration (FHWA), US DOT","{""min_rows"": 550000, ""max_row_delta_pct"": 10, ""geometry_valid_pct"": 98}",,t,verified,,,,2026-08-19 06:21:04.180483+00,,
ntad_national_network,"NTAD National Network (STAA truck-designated highways, BTS/FHWA)","Bureau of Transportation Statistics (BTS) / Federal Highway Administration (FHWA), US DOT",https://services.arcgis.com/xOi1kZaI0eWDREZv/arcgis/rest/services/NTAD_National_Network/FeatureServer,arcgis,snapshot_swap,10080,9490,US public domain (17 U.S.C. §105),"Bureau of Transportation Statistics (BTS) / FHWA, US DOT — NTAD National Network","{""min_rows"": 440000, ""required_fields"": [""route_id"", ""geom_wkt""], ""max_row_delta_pct"": 10, ""geometry_valid_pct"": 98}",,t,verified,,,,2026-08-19 06:21:04.180483+00,national_network,core.truck_routes
ntad_parking,NTAD Truck Stop Parking (BTS),"Bureau of Transportation Statistics (BTS), US DOT",https://services.arcgis.com/xOi1kZaI0eWDREZv/arcgis/rest/services/NTAD_Truck_Stop_Parking/FeatureServer,arcgis,snapshot_swap,1440,192,US public domain,"Bureau of Transportation Statistics (BTS), US DOT","{""min_rows"": 1500, ""max_row_delta_pct"": 10, ""geometry_valid_pct"": 98}",,t,verified,,,,2026-08-19 06:21:04.180483+00,,
